Data,Notas URL
30/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25648
31/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25649
04/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25621
04/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25674
05/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25675
11/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25559
11/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25678
12/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25679
13/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25680
14/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25681
15/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25682
15/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25774
18/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25651
18/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25818
19/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25684
20/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25822
20/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25685
22/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25765
25/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25688
26/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25689
27/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25690
28/09/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25834
